"ID";"Name";"global_id";"Photo";"AdmArea";"District";"DepartmentalAffiliation";"Address";"Capacity";"ObjectOperOrgName";"ObjectOperOrgPhone";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование велосипедной парковки";"global_id";"Фотография";"Административный округ по адресу";"Район";"Ведомственная принадлежность";"Адресный ориентир";"Количество мест";"Наименование эксплуатирующей организации";"Телефон эксплуатирующей организации";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"1458";"Велосипедная парковка № 080149113071";"22950270";"8df4fe79-6464-47ab-8333-032423aec16b";"Восточный административный округ";"район Ивановское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Улица Молостовых, дом 16, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.831668";"55.751918";"{coordinates=[37.831668, 55.751918], type=Point}";"{coordinates=[37.831668, 55.751918], type=Point}";
"1459";"Велосипедная парковка № 080149611932";"22950271";"2374ccb0-33ba-48ef-992d-b5721ffbdb74";"Восточный административный округ";"район Метрогородок";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Открытое шоссе, дом 25, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.762848";"55.826830";"{coordinates=[37.762848, 55.82683], type=Point}";"{coordinates=[37.762848, 55.82683], type=Point}";
"1460";"Велосипедная парковка № 080149112042";"22950272";"05887a5a-4446-4c88-949b-f36002ef5fe7";"Восточный административный округ";"район Перово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Перовская улица, дом 8, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.758937";"55.747008";"{coordinates=[37.758937, 55.747008], type=Point}";"{coordinates=[37.758937, 55.747008], type=Point}";
"1462";"Велосипедная парковка № 080149112764";"22950274";"e04871a3-2085-45dd-ad0d-b05bb905b322";"Восточный административный округ";"район Вешняки";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Старый Гай улица, дом 8Б";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.827067";"55.740193";"{coordinates=[37.827067, 55.740193], type=Point}";"{coordinates=[37.827067, 55.740193], type=Point}";
"1463";"Велосипедная парковка № 080149113377";"22950275";"8c42bb33-b9ca-440a-b5ec-2e7b3c6292c8";"Восточный административный округ";"район Гольяново";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Хабаровская улица, дом 14, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.825697";"55.823173";"{coordinates=[37.825697, 55.823173], type=Point}";"{coordinates=[37.825697, 55.823173], type=Point}";
"1464";"Велосипедная парковка № 080149313589";"22950276";"0ba64f7f-4b69-41f1-ac6d-20c76ef70648";"Восточный административный округ";"район Гольяново";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Щёлковское шоссе, дом 81";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.812608";"55.811208";"{coordinates=[37.812608, 55.811208], type=Point}";"{coordinates=[37.812608, 55.811208], type=Point}";
"1466";"Велосипедная парковка № 080149112791";"22950278";"117f7f5c-5a53-4ee8-89a4-1d9456bca170";"Восточный административный округ";"район Сокольники";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Стромынка улица, владение 18, корпус 13";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.698463";"55.794177";"{coordinates=[37.698463, 55.794177], type=Point}";"{coordinates=[37.698463, 55.794177], type=Point}";
"1385";"Велосипедная парковка № 080148112387";"22952845";"44e43ed1-8317-4f18-bf05-68fde5b974b1";"Юго-Западный административный округ";"район Котловка";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Улица Ремизова, дом 10";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.600227";"55.674583";"{coordinates=[37.600227, 55.674583], type=Point}";"{coordinates=[37.600227, 55.674583], type=Point}";
"1436";"Велосипедная парковка № 080148113020";"22952865";"175239cc-3532-4bd2-85b4-214da98bb5a3";"Юго-Западный административный округ";"район Южное Бутово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Бульвар Адмирала Ушакова, дом 12";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.550002";"55.547213";"{coordinates=[37.550002, 55.547213], type=Point}";"{coordinates=[37.550002, 55.547213], type=Point}";
"1469";"Велосипедная парковка № 080149112563";"25211488";"0f68d044-36b6-4ca7-abda-34e4b58057f0";"Восточный административный округ";"район Соколиная Гора";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Семеновская площадь, дом 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.719122";"55.783105";"{coordinates=[37.719122, 55.783105], type=Point}";"{coordinates=[37.719122, 55.783105], type=Point}";
"1471";"Велосипедная парковка № 080149112411";"25211490";"e635c92f-7d9d-4bdd-8352-7ca16a3c3563";"Восточный административный округ";"район Богородское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Рокоссовского Маршала бульвар, дом 31";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.716037";"55.815963";"{coordinates=[37.716037, 55.815963], type=Point}";"{coordinates=[37.716037, 55.815963], type=Point}";
"1478";"Велосипедная парковка № 080149113589";"25211497";"9036080d-ee80-4711-b5f0-73b949472151";"Восточный административный округ";"район Гольяново";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Щелковское шоссе, дом 27А";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.777653";"55.810590";"{coordinates=[37.777653, 55.81059], type=Point}";"{coordinates=[37.777653, 55.81059], type=Point}";
"1479";"Велосипедная парковка № 080149212446";"25211498";"9cdcbb44-5ea5-43aa-a984-62cfdd8176c0";"Восточный административный округ";"район Косино-Ухтомский";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Рудневка улица, дом 5";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.881765";"55.715593";"{coordinates=[37.881765, 55.715593], type=Point}";"{coordinates=[37.881765, 55.715593], type=Point}";
"1487";"Велосипедная парковка № 080149111573";"25211506";"aa6119c5-f1e2-4897-be81-1c10ab12b83f";"Восточный административный округ";"район Сокольники";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Маленковская улица, дом 30";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.674918";"55.787435";"{coordinates=[37.674918, 55.787435], type=Point}";"{coordinates=[37.674918, 55.787435], type=Point}";
