"global_id";"ID";"DepartamentalAffiliation";"AdmArea";"District";"Location";"DogParkArea";"Elements";"Lighting";"Fencing";"Photo";"WorkingHours";"geoData";"geodata_center";
"global_id";"Код";"Ведомственная принадлежность";"Административный округ";"Район";"Адресный ориентир";"Площадь площадки (кв.м)";"Элементы площадки";"Освещение площадки";"Ограждение площадки";"Фотография";"График работы";"geoData";"geodata_center";
"272687165";"95";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 1-я Новокузьминская улица, дом 20, корпус 1";"420";"[горка-лестница (без перил), скамья для собаководов]";"нет";"да";"nested data";"nested data";"{coordinates=[37.7918, 55.7129], type=Point}";"";
"272687335";"96";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, улица Фёдора Полетаева, дом 20, корпус 1";"400";"[барьер одинарный, горка-лестница (без перил), скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.7797, 55.7109], type=Point}";"";
"272687336";"97";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, улица Васильцовский Стан, дом 10, корпус 1";"404";"[барьер одинарный, горка-лестница (без перил), горка-мостик А-форма, скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.7544, 55.716], type=Point}";"";
"272687337";"99";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 1-й Казанский просек, дом 4";"600";"[барьер двойной, барьер одинарный, вышка-лестница (с перилами), горка-лестница (без перил), трамплин]";"да";"да";"nested data";"nested data";"{coordinates=[37.773655004, 55.73068185], type=Point}";"";
"272687535";"7";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"Алексеевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 25";"350.7";"[барьер двойной, барьер кольца, входной элемент, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.66655, 55.82077], type=Point}";"";
"272687551";"1";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Куркино";"город Москва, Воротынская улица, дом 16";"449";"[барьер кольца, барьер одинарный, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.389655, 55.890315], type=Point}";"";
"272687554";"10007";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, Карамышевская набережная, дом 12, корпус 1";"800";"[барьер регулируемый, бум для собак, вышка-лестница (с перилами), скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.482121, 55.769524], type=Point}";"";
"272687556";"2";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Куркино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Куркино, Куркинское шоссе, дом 17";"396";"[барьер одинарный, барьер тройной, бум для собак, вышка-лестница (с перилами), горка-лестница (без перил), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.391831, 55.884192], type=Point}";"";
"272687557";"10008";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Берзарина, дом 7, корпус 2";"294";"[горка-мостик А-форма, трамплин, тренировочный снаряд с покрышкой]";"нет";"да";"nested data";"nested data";"{coordinates=[37.488278, 55.785375], type=Point}";"";
"272687558";"10009";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, набережная Новикова-Прибоя, дом 11";"206";"входной элемент";"нет";"да";"nested data";"nested data";"{coordinates=[37.447204, 55.789065], type=Point}";"";
"272687559";"10010";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Маршала Тухачевского, дом 14, корпус 1";"218";"входной элемент";"нет";"да";"nested data";"nested data";"{coordinates=[37.486924, 55.782161], type=Point}";"";
"272687560";"10011";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Генерала Глаголева, дом 30, корпус 2";"675";"[барьер регулируемый, бум для собак, скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.466703, 55.789683], type=Point}";"";
"272687561";"10012";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, Карамышевская набережная, дом 44";"3150";"[барьер регулируемый, бум для собак, вышка-лестница (с перилами), горка-мостик А-форма, полоса препятствий, скамья для собаководов, трамплин]";"нет";"да";"nested data";"nested data";"{coordinates=[37.465688, 55.768926], type=Point}";"";
"272687562";"3";"Префектура Северо-Западного административного округа города Москвы";"Северо-Западный административный округ";"район Куркино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Куркино, Юровская улица, дом 95, корпус 3";"85";"[скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.381423, 55.899731], type=Point}";"";
